pickslip_id,parts_m,edge_freq
pickslip_8590139647,"part_8589935459,part_8589935945,part_8589935946,part_8589935952,part_8589968756,part_8589989186,part_8590026343",1
pickslip_8590095321,"part_8589989186,part_8589990685",2
pickslip_8590200486,"part_8589944781,part_8589944787,part_8589944796,part_8589944812,part_8589944817,part_8589944827,part_8589944829,part_8589944843,part_8590137465,part_8590197778,part_8590197779,part_8590197780,part_8590197781,part_8590197782,part_8590197783,part_8590197784,part_8590197785,part_8590197787,part_8590197788,part_8590197789,part_8590197802,part_8590197804,part_8590197806,part_8590197807,part_8590197808,part_8590197810,part_8590197811,part_8590197815,part_8590197817,part_8590197821,part_8590197823,part_8590197824,part_8590197828,part_8590199277,part_8590199280,part_8590199287,part_8590199292,part_8590199295,part_8590199321,part_8590199329,part_8590199330",3
pickslip_8590209098,"part_8589934897,part_8590209097",1
pickslip_8590009851,"part_8589936087,part_8589949124,part_8590009850",1
pickslip_8590279013,"part_8589936538,part_8589937151,part_8589938806,part_8589940872,part_8589941010,part_8589941012,part_8589941377,part_8589942613,part_8589942614,part_8589942615,part_8589942847,part_8589943455,part_8589943873,part_8589945725,part_8589948057,part_8589949146,part_8589949165,part_8589949172,part_8589949175,part_8589949214,part_8589949234,part_8589949260,part_8589949356,part_8589963978,part_8590093688,part_8590120094,part_8590199469,part_8590199473,part_8590205856,part_8590223996,part_8590225294,part_8590226166,part_8590233149,part_8590233151,part_8590235587,part_8590235588,part_8590236125,part_8590244025,part_8590247156,part_8590249600,part_8590260522,part_8590262623,part_8590264681,part_8590279029,part_8590279030",1
pickslip_8590153496,"part_8589939565,part_8589942613,part_8589942614,part_8589974836",1
pickslip_8590119235,"part_8589939740,part_8589942613,part_8589942614,part_8590119230,part_8590119233,part_8590119240",1
pickslip_8590028904,"part_8589935804,part_8589945558,part_8589947556,part_8589947557,part_8589956929,part_8589997090,part_8589997091,part_8589999156,part_8589999168,part_8589999172,part_8590000020,part_8590001090,part_8590001128,part_8590002732,part_8590005490,part_8590005491,part_8590005492,part_8590005637,part_8590006771,part_8590008101,part_8590009852,part_8590010774,part_8590010790,part_8590010794,part_8590011006,part_8590011011,part_8590011524,part_8590011529,part_8590011556,part_8590011558,part_8590011677,part_8590011678,part_8590011681,part_8590011682,part_8590011683,part_8590011684,part_8590011685,part_8590011686,part_8590011922,part_8590011927,part_8590011931,part_8590012251,part_8590012265,part_8590012267,part_8590012836,part_8590012838,part_8590012843,part_8590013372,part_8590013373,part_8590013945,part_8590015018,part_8590016477,part_8590018209,part_8590020987,part_8590028888,part_8590028889,part_8590028899,part_8590028903,part_8590028910,part_8590028911,part_8590028915,part_8590028943",1
pickslip_8589995320,"part_8589934812,part_8589934963,part_8589935241,part_8589935287,part_8589935302,part_8589935550,part_8589936421,part_8589940058,part_8589944598,part_8589995319",1
pickslip_8590051859,"part_8589934963,part_8589991736",1
pickslip_8590263529,"part_8589934963,part_8589935147,part_8589935188,part_8589936091,part_8589936641,part_8589938581,part_8589939562,part_8589939876,part_8589940800,part_8589940807,part_8589940808,part_8589941010,part_8589941012,part_8589941038,part_8589942092,part_8589942158,part_8589942246,part_8589942673,part_8589946724,part_8589947710,part_8589947744,part_8589952409,part_8589961645,part_8589965633,part_8589967916,part_8589979053,part_8590001579,part_8590007577,part_8590008467,part_8590068597,part_8590082757,part_8590082915,part_8590117086,part_8590120453,part_8590120460,part_8590133123,part_8590137477,part_8590258775,part_8590258779",1
pickslip_8590151896,"part_8589934963,part_8589935147,part_8589935383,part_8589935901,part_8589936091,part_8589936318,part_8589936641,part_8589938568,part_8589939167,part_8589939343,part_8589939562,part_8589939858,part_8589939876,part_8589939923,part_8589940807,part_8589940808,part_8589941010,part_8589941012,part_8589941014,part_8589941279,part_8589942092,part_8589942158,part_8589942246,part_8589942940,part_8589942988,part_8589945239,part_8589946724,part_8589947710,part_8589947744,part_8589947928,part_8589952409,part_8589967916,part_8589979053,part_8589983880,part_8590007577,part_8590008467,part_8590068597,part_8590082757,part_8590082915,part_8590082919,part_8590117086,part_8590120453,part_8590120460,part_8590130022,part_8590133123,part_8590133127,part_8590133128,part_8590133129,part_8590133130,part_8590133132",1
