part_id,part_abs_freq,type
part_8589989186,13,Consumable
part_8590125822,2,Consumable
part_8590199280,5,Consumable
part_8590009850,4,Consumable
part_8589947556,6,Consumable
part_8589934963,1258,Consumable
part_8589949321,1,Consumable
part_8590065791,2,Consumable
part_8590069504,6,Consumable
part_8590185070,1,Consumable
part_8590109300,4,Consumable
part_8589939551,6,Consumable
part_8590090658,1,Consumable
part_8590019197,6,Consumable
part_8589937360,5,Consumable
part_8590074330,1,Consumable
part_8590087917,1,Consumable
part_8589976939,23,Consumable
part_8589935387,188,Consumable
part_8589998944,16,Consumable
part_8590022253,5,Consumable
part_8589998942,14,Consumable
part_8590003874,1,Consumable
part_8590003856,2,Non-aircraft material
part_8590080277,7,Consumable
part_8590093734,2,Non-aircraft material
part_8589937832,3,Consumable
part_8590060037,5,Consumable
part_8590016023,9,Consumable
part_8589999367,12,Consumable
part_8590180179,3,Consumable
part_8589944770,24,Consumable
part_8590038374,7,Consumable
part_8590075988,3,Consumable
part_8589941534,7,Consumable
part_8590021381,6,Consumable
part_8590021376,6,Consumable
part_8590107875,5,Consumable
part_8590108062,5,Consumable
part_8590035120,8,Consumable
part_8589964538,1,Part
part_8589979299,15,Consumable
part_8590002603,3,Part
part_8590232824,1,Part
part_8590207412,1,Consumable
part_8590197205,1,Consumable
part_8590018763,2,Consumable
part_8590063497,1,Consumable
part_8589938114,1,Part
part_8590052756,2,Part
part_8590193368,2,Part
part_8589959800,7,Consumable
part_8589959798,5,Consumable
part_8590053863,1,Consumable
part_8589935829,60,Part
part_8590055165,1,Consumable
part_8589935159,66,Consumable
part_8590086697,1,Consumable
part_8589966096,2,Consumable
part_8590032086,1,Consumable
part_8589974896,6,Consumable
part_8590116793,14,Part
part_8589995541,7,Part
part_8589941129,9,Part
part_8590021286,3,Part
part_8589999845,4,Part
part_8589999848,4,Part
part_8590121188,2,Consumable
part_8590242105,1,Consumable
part_8590015313,8,Consumable
part_8590011116,1,Consumable
part_8589942388,16,Part
part_8590010610,1,Consumable
part_8589944780,3,Consumable
part_8590197782,5,Consumable
part_8590197817,5,Consumable
part_8590115170,3,Part
part_8590038721,1,Part
part_8590197198,1,Consumable
part_8589937367,23,Consumable
part_8589937417,18,Consumable
part_8589942210,10,Consumable
part_8589969774,8,Consumable
part_8590015526,4,Part
part_8590084957,1,Consumable
part_8590229888,1,Consumable
part_8589934618,84,Consumable
part_8589943466,1,Part
part_8589988512,2,Part
part_8590240062,3,Part
part_8590245805,5,Consumable
part_8590272120,8,Consumable
part_8589959954,2,Part
part_8589951647,1,Part
part_8590012609,1,Part
part_8589956748,5,Part
part_8590037229,2,Part
part_8590064773,3,Part
part_8589938350,5,Consumable
part_8589986673,16,Part
part_8589960265,4,Consumable
part_8589972953,2,Consumable
part_8589954406,44,Part
part_8590072654,1,Part
part_8590107877,4,Consumable
part_8590207241,4,Consumable
part_8589943993,1,Consumable
part_8589945808,2,Consumable
part_8589943998,2,Consumable
part_8590222068,2,Consumable
part_8590010609,1,Consumable
part_8590013361,8,Consumable
part_8589963956,6,Consumable
part_8590236536,2,Consumable
part_8589983399,1,Part
